id,codigo_e,nombre,total_docs,r_tox_genetica,r_tox_endocrina,r_tox_neuro,r_tox_digestiva,r_tox_alergia,r_tox_organos,r_ben_antiox,r_ben_microbiol,r_ben_metabolico,r_mod_humano,r_mod_animal,r_mod_invitro
en:e370,E370,1‚4-Heptonolactone,112,0.16071428571428573,0.08928571428571429,0.0625,0.008928571428571428,0.0,0.07142857142857142,0.008928571428571428,0.08035714285714286,0.13392857142857142,0.41964285714285715,0.08035714285714286,0.30357142857142855
en:e500i,E500I,Sodium carbonate,368,0.06521739130434782,0.016304347826086956,0.008152173913043478,0.008152173913043478,0.008152173913043478,0.03260869565217391,0.10054347826086957,0.14673913043478262,0.12771739130434784,0.22554347826086957,0.08152173913043478,0.6331521739130435
en:e900a,E900A,Dimethyl polysiloxane,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.125,0.625
en:e252,E252,Potassium nitrate,353,0.11898016997167139,0.0339943342776204,0.031161473087818695,0.0084985835694051,0.10198300283286119,0.042492917847025496,0.0679886685552408,0.14447592067988668,0.1274787535410765,0.45609065155807366,0.08781869688385269,0.42776203966005666
en:e1210,E1210,Carbomer,171,0.05263157894736842,0.07017543859649122,0.05263157894736842,0.017543859649122806,0.005847953216374269,0.04678362573099415,0.08187134502923976,0.3742690058479532,0.2222222222222222,0.3567251461988304,0.2982456140350877,0.5263157894736842
en:e1450,E1450,Starch sodium octenyl succinate,19,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.3157894736842105,0.05263157894736842,0.42105263157894735
en:e375,E375,Nicotinic acid,989,0.09706774519716886,0.134479271991911,0.06268958543983821,0.032355915065722954,0.010111223458038422,0.11122345803842265,0.07482305358948432,0.12234580384226491,0.42264914054600605,0.34782608695652173,0.23862487360970677,0.5035389282103134
en:e141i,E141I,Copper complexes of chlorophylls,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
en:e283,E283,Potassium propionate,146,0.19863013698630136,0.0547945205479452,0.04794520547945205,0.00684931506849315,0.02054794520547945,0.06164383561643835,0.00684931506849315,0.06164383561643835,0.1643835616438356,0.5068493150684932,0.04794520547945205,0.3698630136986301
en:e638,E638,E638,67,0.16417910447761194,0.05970149253731343,0.04477611940298507,0.014925373134328358,0.04477611940298507,0.07462686567164178,0.0,0.08955223880597014,0.16417910447761194,0.5522388059701493,0.05970149253731343,0.3582089552238806
en:e296,E296,Malic acid,1197,0.06599832915622389,0.04344193817878028,0.042606516290726815,0.03842940685045948,0.005012531328320802,0.07101086048454469,0.1821219715956558,0.15121136173767752,0.28989139515455303,0.21637426900584794,0.16791979949874686,0.6040100250626567
en:e175,E175,Gold,68591,0.15293551632138327,0.03859106879911359,0.06990713067312038,0.008091440568004548,0.02622793077809042,0.046478400956393696,0.015672610109198,0.06069309384613142,0.17360878249333003,0.551515504949629,0.065810383286437,0.45412663468968234
