id_original,nombre_referencia,total_docs,toxicidad_genetica,carcinogenesis,disrupcion_endocrina,toxicidad_metabolica,microbiota_gut_health,barrera_hematoencefalica,inmunotoxicidad_alergia,inflamacion_cronica,potencial_bioactivo,evidencia_clinica_humana,estudios_mecanisticos
568,Calcium carbonate,15405,63,777,590,147,47,33,159,107,490,1371,1914
569,Desconocido,607,5,208,25,5,1,3,13,5,14,108,25
570,Potassium aluminium silicate,231,0,41,8,9,0,2,3,5,7,70,20
571,Inosinic acid,416,6,58,16,8,4,2,6,15,28,58,74
572,Succinic acid,8581,99,676,291,197,226,70,58,222,957,361,2219
573,iron gluconate,297,1,41,11,5,2,2,9,10,8,70,33
574,Potassium sulphate,104,1,3,1,0,0,0,3,2,3,4,10
575,Orthophenyl phenol,1061,48,368,53,16,0,3,13,12,56,127,128
576,methyl cellulose,2308,33,231,74,35,9,17,17,78,280,124,751
577,Maltitol syrup,8,0,0,0,0,0,0,1,0,1,2,0
578,Anthocyanins,19906,392,1529,571,789,404,216,89,885,8378,935,7003
579,Polyphosphates,5922,70,425,219,21,38,17,32,96,324,247,1735
580,Rice bran wax,176,4,20,4,3,2,1,2,2,10,16,31
581,Calcium silicate,200000,4961,33606,14869,5543,1114,3542,3186,6718,16092,63409,36884
582,Canthaxanthin,930,27,125,10,5,0,2,7,13,788,48,212
583,Wax ester,557,1,21,15,13,3,2,5,4,12,34,161
584,Sucroglycerides,247,0,53,10,5,0,3,4,7,3,64,21
585,Gluconic acid,2769,30,268,114,28,36,8,14,43,293,216,667
586,Castor oil,3150,28,217,120,13,42,12,117,55,414,201,716
587,Ascorbyl palmitate,336,9,41,5,4,3,4,1,15,284,10,72
588,Potassium bromate,520,185,346,16,2,1,5,8,7,135,5,102
589,Potassium pectate,3,0,0,0,0,0,0,0,0,1,0,0
590,Dipotassium inosinate,160,2,35,11,2,1,0,1,5,2,36,20
591,acetone peroxide,104,1,12,1,5,1,2,0,4,3,32,5
592,Cyanidin,4402,132,409,173,193,104,61,17,279,2048,91,1734
593,ferric ammonium citrate,1084,23,238,76,23,4,20,4,84,180,93,472
594,Sorbitan trioleate,311,2,52,15,12,1,2,3,6,17,73,41
595,Stearyl tartrate,256,2,41,16,6,0,5,5,2,8,65,24
596,Esters of Colophane,92,1,12,3,1,0,4,0,2,4,29,9
597,Tannin,7065,100,429,138,65,102,27,61,139,1641,288,1493
598,Potassium sodium tartrate,443,4,83,18,10,3,4,6,10,15,94,37
599,Potassium bromate,607,187,360,22,5,2,8,10,9,138,29,114
600,Sodium silicate,1226,3,54,11,3,1,2,6,8,42,47,89
601,Disodium 5'-ribonucleotide,201,2,39,10,7,0,2,3,8,11,59,21
602,Diphosphates,8554,98,740,250,23,7,9,43,96,362,380,1840
603,Montanic acid esters,118,0,13,7,4,0,1,1,2,8,25,18
604,E15x food additive,200000,5668,33395,42145,33759,5417,5419,3844,9758,40631,26052,105787
605,Aluminium potassium sulphate,236,1,41,13,6,0,1,7,6,8,64,15
606,Glycerol,74412,813,4744,3530,3687,402,391,550,1240,6137,2822,21074
607,Magnesium salts of fatty acids,2,1,1,0,0,0,0,0,0,0,0,0
608,Tartrazine,2107,60,218,89,39,11,21,217,36,223,230,211
609,Sandalwood,1157,15,163,45,17,7,8,35,27,64,164,197
610,Tripotassium citrate,17,0,0,0,0,0,0,0,0,2,3,1
611,Sodium sulphates,84526,1142,9809,4638,385,3977,413,1654,7162,10006,2237,26006
612,Acacia gum,546,10,72,17,18,30,5,7,11,60,92,75
613,Protease,165672,2704,25302,11385,2196,987,2215,3668,9892,10763,11829,72716
614,Potassium bisulphite,592,21,89,27,10,1,7,5,5,28,112,77
615,Polyvinyl alcohol,15370,64,1364,319,32,30,48,46,249,1632,747,3435
616,Calcium ascorbate,444,6,77,29,9,0,4,4,9,75,93,43
617,Ammonia caramel,27,3,2,3,1,1,0,3,0,2,4,3
618,Potassium fumarate,333,2,64,11,8,1,2,1,3,7,80,29
619,Mineral oil medium and low viscosity class II,2,0,0,0,0,0,0,1,0,0,0,0
620,Fast Green FCF,1066,20,169,48,18,2,9,11,24,31,188,85
621,Fast Yellow AB,1204,8,199,40,36,2,10,7,18,38,221,91
622,Potassium hydroxide,3880,25,204,68,13,1,7,29,27,184,376,268
623,Fumaric acid,2883,24,266,84,60,50,36,31,138,391,322,598
624,Sodium aluminium phosphate,236,3,48,13,7,1,6,3,5,6,61,15
625,Superglycerinated hydrogenated rapeseed oil,582,9,66,16,15,5,4,2,9,36,85,57
626,Konjac,1905,11,124,71,79,108,8,22,56,296,131,395
627,Copper sulphate,1150,33,84,36,13,8,8,16,27,133,102,193
628,Magnesium phosphates,543,1,76,15,5,0,3,5,10,11,103,53
629,Gum ghatti,391,4,59,11,8,2,6,5,4,20,80,26
630,Disodium tartrate,8,0,0,0,0,0,0,0,0,1,0,0
631,Tricalcium citrate,8,0,0,0,0,0,0,0,0,0,0,1
632,4-hexylresorcinol,286,11,54,15,9,0,2,1,15,32,46,56
633,Xylitol,4816,21,126,177,98,47,10,21,42,354,580,972
634,Sorbitol,14436,176,751,1633,232,88,75,159,190,1264,843,3322
635,Aluminium sulphate,400,6,48,11,8,0,3,4,10,15,82,41
636,Sorbitan monolaurate,470,3,67,13,10,1,2,3,9,36,60,77
637,Calcium erythorbin,200000,5959,81570,81427,13622,2001,19286,8476,24431,53288,60240,200000
638,Calcium stearoyl fumarate,235,1,45,9,6,1,2,1,5,8,62,22
639,E414a food additive,5,0,0,0,0,0,0,0,0,0,0,1
640,Curcumin,29779,1024,9831,2319,993,549,1117,255,4348,21952,2105,14358
641,saccharin and its salts,5912,205,719,293,233,80,106,78,101,295,371,802
642,Lactic acid esters of mono- and diglycerides of fatty acids,6,0,0,0,0,1,0,0,0,0,1,1
643,Yellow iron oxide,15,0,1,0,0,0,0,0,0,1,0,3
644,Phytic acid,8152,97,666,215,69,87,24,42,104,896,569,1703
645,Ascorbic acid,69739,2585,6685,2755,832,175,705,590,1556,56780,5545,14315
646,Cryptoaxanthin,0,0,0,0,0,0,0,0,0,0,0,0
647,Neohesperidine dihydrochalcone,145,2,8,2,3,0,1,2,3,3,45,6
648,Phosphated distarch phosphate,134,2,13,4,5,2,0,0,0,6,19,19
649,Heptylparaben,641,3,103,27,14,3,3,6,13,12,132,45
650,Monosodium citrate,10,0,0,0,0,0,0,0,0,0,0,1
