nombre_limpio,total_docs,riesgo_cronico,riesgo_agudo,microbiota,beneficio,evidencia_humana
Sodium acetates,7,1,0,1,1,1
Polyoxyethylene sorbitan monolaurate,41,0,1,0,5,6
Polydextrose,374,29,32,104,180,165
Titanium dioxide,24736,2538,1015,189,18388,3322
Sucrose esters of fatty acids,20,1,1,1,5,5
Aluminium stearate,8,0,1,0,2,0
Potassium carbonate,945,56,15,2,153,72
Alanin,332,38,19,2,48,96
Algal carotenes,915,63,42,24,531,91
ethyl acetate,22908,3803,2267,181,7599,4366
saffron,2876,566,473,56,1343,863
Acetic acid,61727,7188,5840,2748,13453,9230
Polyoxyethylene (8) stearate,2,2,0,0,0,1
Calcium dihydrogen diphosphate,783,56,11,0,187,73
Magnesium oxide,3964,269,102,24,922,826
Triethyl citrate,288,5,15,0,57,31
Thiodipropionic acid,47,7,0,0,17,6
Karaya-gum,191,13,14,0,44,40
Calcium sulphate,481,36,14,3,40,154
Sodium hydrogen carbonate,210,29,11,2,33,46
Potassium adipate,61,1,0,2,7,2
Carbon dioxide,149545,7133,3290,879,12320,30138
Sodium sorbate,16,10,0,0,2,4
Microcrystalline wax,45,0,3,0,8,8
Monosodium phosphate,143,5,2,2,17,28
maltitol,372,13,11,9,58,109
Sodium metabisulphite,193,11,32,1,57,51
Acetylated oxidised starch,184,12,14,9,37,17
Aspartame,2009,261,153,81,253,775
Salt of aspartame-acesulfame,2,0,0,0,0,2
Hydroxy propyl distarch glycerol,0,0,0,0,0,0
Benzoin resin,6,0,0,0,1,0
Microcrystalline cellulose,4092,74,153,65,538,306
Calcium lactobionate,6,0,1,0,3,2
D-Alpha-tocopherol,644,194,46,16,505,194
Steviol glycosides from Stevia,475,42,26,15,104,85
Annatto norbixin,7,0,0,0,6,2
Argon,21055,2944,447,16,1375,4465
Desconocido,281,130,22,0,7,83
Acetylated starch,106,6,0,6,7,11
Potassium polyphosphate,422,24,11,1,80,44
Magnesium chloride,4134,243,77,18,654,597
E411 food additive,2,0,0,0,1,0
Ammonium Pectate,42,0,0,0,5,0
Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,3,0,0,0,0,0
Pentasodium triphosphate,17,1,0,0,2,4
Ethyl ester of beta-apo-8'-carotenic acid (C 30),0,0,0,0,0,0
Ethyl gallate,307,47,47,5,157,52
Steviol glycosides,534,34,25,19,116,114
Cassia gum,26,4,0,0,7,2
Ammonium hydroxide,1775,150,45,5,219,241
Yellow 2G,16,3,0,0,2,0
Calcium salts of fatty acids,57,2,0,2,11,7
Trisodium diphosphate,58,6,3,0,8,14
Calcium polyphosphate,155,11,10,1,15,38
Alpha-tocopherol,19241,3599,1210,102,17099,6281
Acid-treated modified starch,9,0,0,1,3,0
Sucrose acetate isobutyrate,82,12,7,0,15,14
Carbamide,2016,67,76,7,291,995
Distarch glycerine,0,0,0,0,0,0
Potassium citrates,3666,140,113,20,772,1097
Sodium hydrogen sulphate,5,0,0,0,1,1
Modified Starch,1258,35,17,18,234,133
Indigotine,24,5,5,1,4,3
potassium iodate,270,25,1,0,50,59
ammonium fumarate,16,1,0,0,0,0
non-amidated pectines,0,0,0,0,0,0
Tetrapotassium diphosphate,17,1,1,0,9,7
Isopropyl citrates,1,0,0,0,0,0
Calcium sulphite,1,0,0,0,0,0
Nitrous oxide,26264,1075,418,348,2574,6880
Propionic acid,11953,1078,1294,1728,3263,2165
Sodium salts of fatty acids,13,1,1,0,1,0
Dimagnesium phosphate,9,0,0,0,0,1
Ethyl maltol,114,11,3,0,23,29
Sodium tartrates,1213,83,44,5,244,223
Carnauba wax,325,13,14,6,86,30
L-cysteine hydrochloride monohydrate,13,0,0,0,2,2
chloropentafluoroethane,8,0,0,0,2,0
Konjac glucomannan,1136,45,87,77,311,138
Alkaline sodium aluminium phosphate,3,0,0,0,0,0
Citric acid,34818,3302,1257,335,5816,7506
Nisin,3145,139,77,154,441,411
Hydroxypropyl methyl cellulose,526,26,41,1,112,77
pectin amide,1,0,0,0,0,1
sodium erythorbate,102,14,2,2,75,14
hemimorphite,17,1,0,0,0,2
Ethoxylated Mono- and Di-Glycerides,0,0,0,0,0,0
Alpha-Cyclodextrine,2,0,0,0,0,0
Tripotassium phosphate,14,1,1,1,7,1
Indanthrene blue RS,4,0,0,1,0,0
Sorbitol syrup,3,0,0,0,0,2
calcium propionate,192,14,6,11,22,34
Dichlorodifluoromethane,166,10,4,0,15,26
Tartaric acid esters of mono- and diglycerides of fatty acids,1,0,0,0,0,0
Ammonium polyphosphate,333,1,0,1,67,1
Mono- and diglycerides of fatty acids,24,5,2,2,3,5
Hexamethylene tetramine,40,0,2,0,9,3
E571,181,46,12,0,14,76
Enzymatically hydrolysed carboxymethylcellulose,15,0,0,1,1,0
Cholic acid,5129,645,298,433,830,1226
Aluminium,17008,1110,856,45,2416,3500
Sodium tetraborate (borax),54,6,2,1,6,8
Riboflavin,17007,1399,596,272,2898,4809
Polyvinyl alcohol-polyethylene glycol-graft-co-polymer,1,0,0,0,0,0
Ammonium carbonate,375,23,3,3,35,37
Potassium hydrogen carbonate,19,2,0,0,2,1
Brilliant blue FCF,156,16,4,2,16,24
Potassium acetate,593,36,5,1,64,42
Polyoxyethylene (40) stearate,33,7,0,1,4,8
Synthetic wax,20,0,0,0,0,1
Astaxanthin,4448,651,740,121,2973,940
Calcium citrates,6347,295,182,34,1124,2345
Acetylated starch,106,6,0,6,7,11
Potassium salts of fatty acids,13,2,0,0,2,2
Bentonite,5739,315,130,76,4107,494
sodium dodecyl sulfate,46671,4423,1756,141,4244,6913
Candelilla wax,111,0,2,0,24,7
Gamma-Cyclodextrine,4,0,0,0,2,2
Lactitol,369,17,33,30,68,143
1‚4-Heptonolactone,0,0,0,0,0,0
Sodium carbonate,2427,125,43,9,356,271
Dimethyl polysiloxane,78,6,0,0,9,4
Potassium nitrate,1295,61,198,12,288,352
Calcium carbonates,195,6,1,2,18,12
Carbomer,763,49,117,15,249,226
Starch sodium octenyl succinate,13,1,1,1,2,1
Nicotinic acid,12433,665,414,95,1338,1578
Copper complexes of chlorophylls,1,1,0,0,0,0
Potassium propionate,21,1,0,0,5,1
E638,164,34,5,3,8,70
Malic acid,5816,343,136,121,1158,565
Gold,292615,51501,13846,1094,21924,104693
Dextrin,1873,148,110,76,338,357
ammonium adipate,3,0,0,0,1,0
Butane,3997,448,76,40,480,473
Succinylated monoglycerides,19,3,1,0,4,4
Monocalcium phosphate,271,5,8,4,19,50
mineral oil,4624,714,357,22,700,768
Dimethylpolysiloxane and Methylphenylpolysiloxane,0,0,0,0,0,0
Brown FK,48,7,1,0,1,7
Glyceryl diacetate,10,4,1,0,5,2
Chlorophyllins,43,11,3,0,30,5
Dipotassium phosphate,68,6,2,0,13,15
Sodium nitrite,3532,729,138,25,1259,524
Lecithin,12554,852,588,120,2315,2968
Calcium tartrate,45,4,0,0,4,4
Iron oxides and iron hydroxides,870,58,10,8,157,60
Nitrogen oxides,10897,1375,539,73,4230,2011
Calcium fumarate,13,0,0,0,2,3
Sodium calcium polyphosphate,343,13,24,2,148,109
Potassium tartrates,857,76,15,0,157,130
Gelatine,2451,233,149,14,319,730
Ethyl p-hydroxybenzoate,159,36,7,3,35,58
Petunidin,582,53,38,13,248,100
Annatto bixin,109,16,9,0,87,19
Propyl gallate,1050,208,82,6,849,154
Magnesium hydroxide,1870,90,102,6,344,562
Citric acid esters of mono- and diglycerides of fatty acids,1,0,0,0,0,0
Ethanol,194421,20877,11666,2241,40077,40013
Gamme-tocopherol,0,0,0,0,0,0
Sodium bisulphite,132,48,5,0,41,27
Sunset yellow FCF,130,10,6,1,14,17
Glucose oxidase,10789,1445,329,42,2037,1698
Sodium malate,24,2,2,0,3,4
octafluorocyclobutane,39,0,0,0,5,4
Glycine and its sodium salt,1938,98,62,16,416,220
Lutein,7829,1318,456,61,4750,3135
Sodium methyl p-hydroxybenzoate,121,5,7,1,35,13
Calcium Disulphite,0,0,0,0,0,0
Tagatose,698,16,19,33,116,89
Gum Guaicum,0,0,0,0,0,0
Paraffin wax,2054,759,81,3,119,722
Magnesium carbonates,57,1,1,1,1,4
Choline salt,34,3,5,0,14,6
Calcium alginate,2771,161,116,28,462,403
Tetrasodium diphosphate,6,1,0,0,2,0
Dodecyl gallate,80,9,17,1,46,20
Enzyme treated starch,2422,407,222,98,693,639
Ponceau 4r,212,18,13,0,18,28
Monosodium glutamate,2537,171,241,35,513,505
Caustic sulphite caramel,0,0,0,0,0,0
Calcium malate,18,1,0,0,0,1
Ethoxyquin,414,143,18,10,300,52
Sulphur dioxide,1419,85,198,4,233,546
Calcium chloride,12212,631,359,30,2529,1691
Erythorbic acid,85,10,2,0,72,12
E642,149,27,8,0,8,60
Oxidised starch,11,1,0,1,0,2
Desconocido,281,130,22,0,7,83
Arabinogalactan,2728,184,135,101,474,277
Allura red,297,31,21,10,26,34
Citranaxanthin,11,1,0,0,8,1
Magnesium lactate,51,1,1,0,5,20
Polyethylene glycol,44445,9496,2679,459,7889,11063
D-sorbitol,773,37,14,12,102,99
Sodium tripolyphosphate,1037,95,44,14,278,200
Potassium persulfate,654,29,31,3,103,47
Acetic acid esters of mono- and diglycerides of fatty acids,7,0,0,0,1,0
Glycolipids,19458,3054,1095,272,1993,3648
Mineral oil medium and low viscosity class III,2,0,0,0,0,0
Oxidised polyethylene wax,63,3,2,5,8,5
Sodium/potassium/calcium and magnesium salts of fatty acids,1,1,0,0,0,0
Fatty acids,283766,29699,26544,19287,62873,72954
Polyoxyethylene sorbitan monooleate,88,7,2,1,14,10
Chlorine,32176,3340,716,251,3763,4513
Calcium acetate,625,36,27,2,75,229
Nitrogen,347631,27149,12243,8975,54118,48664
Riboflavin-5′-phosphate,184,16,7,1,21,25
Patent blue v,239,141,52,0,10,101
Calcium 5'-ribonucleotide,5,0,0,0,0,1
Ammonium hydrogen carbonate,66,2,0,0,5,10
Tricalcium phosphate,8670,562,442,12,774,2724
Sodium citrates,11783,767,465,69,2341,3418
Nitrosyl chloride,55,6,0,0,12,1
Amidated pectin,81,2,1,2,14,13
Sodium aluminium silicate,11,1,0,0,2,1
Sodium sesquicarbonate,31,0,0,1,1,5
Sodium/potassium and calcium salts of fatty acids,4,2,0,0,1,2
Dicalcium diphosphate,30,1,2,0,5,5
Sodium formiate,6,0,0,0,1,1
l-cysteine,14145,3443,1023,129,6471,3455
Ethulose,1,0,0,0,0,0
Sodium sulphate,1012,218,411,125,351,190
Magnesium stearate,935,15,51,5,168,73
acid esters of mono- and diglycerides of fatty acids,2,0,0,0,0,0
Aluminium silicate,109,6,9,1,19,15
Beta-cyclodextrine,58,7,4,0,11,15
Sodium propionate,493,61,52,69,141,83
Acid sodium aluminium phosphate,10,0,0,0,1,3
Konjac gum,76,1,3,4,13,4
Glucono-delta-lactone,456,12,9,6,64,32
Guanylic acid,210,30,3,0,15,14
Monomagnesium phosphate,2,0,0,0,0,2
Polyglycerol esters of fatty acids,23,2,0,0,10,3
Thermally oxidised soya bean oil interacted with mono- and diglycerides of fatty acids,2,2,0,0,0,0
Pentapotassium triphosphate,3,0,0,0,3,0
Distarch glycerol,0,0,0,0,0,0
Delphinidin,1689,256,150,27,764,360
dipotassium dihydrogenpyrophosphate,0,0,0,0,0,0
Sucralose,1321,105,106,204,172,530
Ethyl lauroyl arginate,45,0,1,2,7,8
Neotame,145,14,7,11,11,45
Rhodoxanthin,35,2,0,0,23,1
E450viii,0,0,0,0,0,0
Potassium chloride,26770,1595,659,52,6016,4166
Benzyl alcohol,4039,184,181,23,514,411
Bakers yeast glycan,439,34,28,9,89,52
Cyclamic acid and its Na and Ca salts,1,0,0,0,0,0
Disodium diphosphate,3,0,0,0,0,0
Red 2G,25,7,0,0,2,3
Potassium ferrocyanide,411,23,2,2,69,27
Potassium sorbate,725,44,20,23,142,95
Polyoxyethylene sorbitan tristearate,2,1,0,0,0,1
Sodium dehydroacetate,63,4,4,1,12,10
Tylosin,2483,54,69,99,214,335
ammonium lactate,97,8,8,3,18,26
Ammonium chloride,9525,921,223,31,1261,1169
Locust bean gum,1032,49,49,23,202,168
Zeaxanthin,4607,523,221,34,3096,1664
Calcium polyphosphate,155,11,10,1,15,38
peptone,6090,359,158,88,581,689
Calcium oxide,1079,43,28,7,113,111
Xanthan gum,3183,114,139,38,631,440
Delta-tocopherol,596,108,44,7,519,167
Potassium sulphates,6,1,0,0,0,2
Disodium phosphate,324,77,43,0,121,87
Petroleum wax,1270,37,9,10,143,112
Quinoline yellow,116,9,15,0,11,19
Glucosylated steviol glycosides,6,0,1,0,1,2
Acesulfame k,348,40,13,30,32,155
Calcium diglutamate,4,2,0,0,0,2
Invertase,4143,107,31,74,442,135
Methyl p-hydroxybenzoate,88,3,4,0,16,7
Sodium polyphosphate,98,4,2,1,17,18
Curdlan,1039,148,151,31,219,172
Polyvinylpyrrolidone,8149,674,412,45,1529,1040
Sodium hydroxide,10869,514,305,37,1465,1218
Sorbic acid,1614,195,90,20,320,325
Fatty acid esters of ascorbic acid,176,28,10,3,152,29
Calcium bromate,18,7,2,0,5,1
Guar gum,2877,170,156,144,582,645
Powdered cellulose,63,3,0,0,2,8
