nombre_final,total_docs,riesgo_cronico,riesgo_agudo,microbiota,beneficio,evidencia_humana
flavin mononucleotide,1.0343390136627755,0.8977452388476144,0.5891576909998535,0.7056202153756169,0.8932726958631744,0.8604632739387158
Oxygen,2.7535206808728736,3.1568826089794615,3.2692791981701586,3.3297072840455018,2.90296665813505,3.0027280106262437
Quillaia extract,-0.9296109626092816,-0.5221835199119695,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-0.9904085750728697
Dipotassium tartrate,-1.0017510424575735,-0.8537542684995382,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-0.8520729310695998
carotene,1.5664231844406082,1.9580701979601562,1.700989401560877,1.5505470256958862,2.0214980709287973,1.8457575828939814
Tocopherol-rich extract,-1.0017510424575735,-0.8537542684995382,-0.706486390898014,-0.7872651323057321,-0.5866057553192263,-0.9904085750728697
Gardenia Blue,-0.563839968185315,-0.40042702113429596,-0.706486390898014,-0.7872651323057321,-0.6384968623016296,-0.7539222296529046
Potassium malate,-0.8208328515071216,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-0.8718281362297977,-1.226894920492835
Sodium fumarate,-0.5535759313444382,-0.7070318748913621,-0.706486390898014,-0.27119388993922744,-0.774986907795104,-0.5629938146786809
Brilliant black bn,-0.7985281457304209,-0.7070318748913621,-0.9705322375809257,-0.4616604305341174,-0.8718281362297977,-0.6777906310049805
Rubixanthin,-0.6897500346282609,-0.8537542684995382,-0.9705322375809257,-0.7872651323057321,-0.25047511738513284,-0.9904085750728697
Sodiumglycinate,-1.4499261535707086,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-1.226894920492835
Magnesium silicates,0.44016906798882927,0.33888367802685904,0.1511153793539211,0.18954897300911197,0.4495187043993717,0.3231758427708558
Alpha-Amylase,1.4819001238334328,1.3990346681059334,1.7114730340190338,1.9644889413713895,1.6445644511342514,1.602081160391964
Hydrogenated poly-1-decene,-1.1536985181658492,-0.8537542684995382,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-0.9904085750728697
Calcium stearoyl-2-lactylate,-1.0947557811352802,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-0.9904085750728697
Sulphite ammonia caramel,-0.8706682255787126,-0.4562082863240725,-0.706486390898014,-0.4616604305341174,-1.008318181723272,-0.7539222296529046
Carotenoids,1.7123042093412546,1.9695683884192055,1.9189867865304673,1.968498197190023,2.220364184287524,1.841037658321064
Magnesium hydroxide carbonate,0.49306001036552,-0.12463753773650373,0.08565114915072067,-0.031234427434799022,0.36712715656376527,0.6254766130335243
Calcium inosinate,0.39242920722887925,0.27290844443896195,0.13051914002915097,-0.27119388993922744,0.3782562981441506,0.23691406822744843
Ammonium acetate,1.150198208011344,1.1563511047165718,0.8303076910789742,0.41761543854343625,0.9744964130453562,1.2269170524364015
Polyoxyethylene sorbitan monopalmitate,-1.0449204070636893,-0.8537542684995382,-0.706486390898014,-0.7872651323057321,-1.008318181723272,-0.7539222296529046
Lanolin,0.4817578354875258,0.21172615439610523,1.0841034763209914,-0.27119388993922744,0.4382592644346301,0.6101746010223202
Polyvinylpyrrolidone-vinyl acetate copolymer,-0.5854006229888767,-0.7070318748913621,-0.5520294721173432,-0.7872651323057321,-0.5020068168081552,-0.7539222296529046
Desconocido,0.14995845675892358,0.6595705400905126,0.223895509128756,-0.7872651323057321,-0.5416556338669358,0.28480086558448453
synthetic magnesium silicates,-0.1456964769813291,0.19216128441868285,-0.35743676782955225,-0.7872651323057321,-0.25047511738513284,-0.1571342852241228
Ferrous lactate,-0.4656624790716933,-1.1045778570668279,-0.4424405442151025,-0.4616604305341174,-0.4051655883734614,-0.24076459622639948
Sodium stearoyl fumarate,-1.4499261535707086,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-0.9904085750728697
sodium thiosulfate,0.8210726674957393,1.1317350039658576,1.0381517361096697,0.4524275316295236,1.183953767339737,0.9308351837100682
Pectin,1.4205609596229574,1.3417589680368323,1.521741548796869,2.31492617688848,1.4982968058299033,1.3023805315952133
Bleached starch,-0.1917395494435347,-0.8537542684995382,-0.9705322375809257,-0.4616604305341174,-0.21678443589758375,-0.8520729310695998
Ammonium phosphatides,-1.0017510424575735,-1.1045778570668279,-0.9705322375809257,-0.4616604305341174,-0.8718281362297977,-1.226894920492835
Peonidin,0.5066537848762365,0.5072809297910453,0.6077437006803788,0.4848368149317058,0.7579658708208763,0.5371588019088349
Bone phosphate,-0.6207036626480372,-0.8537542684995382,-0.9705322375809257,-0.7872651323057321,-1.008318181723272,-0.6155865856496346
Paprika extract,-0.6333833272044223,-0.6029306799322486,-0.706486390898014,-0.27119388993922744,-0.3782211421231877,-0.5629938146786809
Sodium adipate,-1.3188433366918477,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-1.226894920492835
Ammonium sulphate,0.9308559004538975,0.8216168998222145,0.795010455464902,0.2943702743368159,0.645408551944224,0.7794116678886305
Tara gum,-0.21927021773842478,-0.5221835199119695,-0.5520294721173432,-0.031234427434799022,-0.17183431444529323,-0.2809495388129742
Anoxomer,-1.3188433366918477,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-0.8718281362297977,-1.226894920492835
Sodium ascorbate,0.613251179412188,0.8905222056731029,0.42505626635829624,-0.13605572876250271,1.0094043091623268,0.7236273144502194
Disodium citrate,-0.7395854086998518,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-0.8718281362297977,-0.6155865856496346
Riboflavin,1.4752961876382087,1.5168324188772895,1.4643895416136732,1.847774643073582,1.4419727693113362,1.6657637678783859
Amaranth,0.8013564645992113,0.6426051543977475,0.7799218441309599,0.9214847406281181,0.8111201157648492,0.7291931422526303
Glycerol esters of wood rosin,-1.2258385980141409,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-1.226894920492835
Mannitol,1.6221209969445094,1.7335285613138938,1.819139085991112,2.705796207931924,1.7085050145711542,1.7493879109196797
Ammonium carbonates,1.4327561932270818,1.1673801320484345,0.8269215564848599,1.979025210018739,1.318522379386936,1.1784495090041773
Aluminium sodium sulphate,-1.4499261535707086,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-1.226894920492835
